course,platform,link,description

Python Programming,Coursera,https://www.coursera.org,Comprehensive beginner to advanced Python courses from top universities
Data Science,edX,https://www.edx.org,University-level Data Science and Machine Learning courses
Machine Learning,Udemy,https://www.udemy.com,Affordable machine learning and AI tutorials
Web Development,FreeCodeCamp,https://www.freecodecamp.org,Learn HTML CSS JS and full-stack web development for free
Cloud Computing,Great Learning,https://www.greatlearning.in,Hands-on courses in AWS Azure and Google Cloud
Cyber Security,Simplilearn,https://www.simplilearn.com,Professional certification and training in cybersecurity
Artificial Intelligence,NPTEL,https://nptel.ac.in,Government-certified AI & ML courses by IIT professors
Deep Learning,Udacity,https://www.udacity.com,In-depth nanodegree programs for deep learning
Database Management,Oracle MyLearn,https://mylearn.oracle.com,Learn SQL DBMS and Oracle Database Administration
Java Programming,Coding Ninjas,https://www.codingninjas.com,Structured Java courses for beginners and intermediates
C Language,GeeksforGeeks,https://www.geeksforgeeks.org,Comprehensive C programming tutorials and practice problems
C++ Programming,CodeWithHarry,https://www.codewithharry.com,Learn C++ programming with practical examples in Hindi & English
HTML & CSS,W3Schools,https://www.w3schools.com,Learn web design fundamentals interactively
JavaScript,MDN Web Docs,https://developer.mozilla.org,Official documentation and learning path for JS and web APIs
Full Stack Development,Scaler Academy,https://www.scaler.com,Learn MERN stack React Node.js and backend engineering
Flutter Development,Google Developers,https://flutter.dev,Official Flutter learning resources and tutorials
Django Framework,Real Python,https://realpython.com,Learn Django backend framework with hands-on examples
React.js,React Official Docs,https://react.dev,Complete guide to learning React.js
Node.js,Node.js Official,https://nodejs.org,Learn Node.js server-side programming with docs and guides
UI/UX Design,Figma Learn,https://help.figma.com,Design and prototype interfaces using Figma tutorials
Bootstrap Framework,GetBootstrap,https://getbootstrap.com,Official Bootstrap documentation and starter templates
WordPress Development,WordPress.org,https://wordpress.org,Create websites and blogs with WordPress CMS
MongoDB,MongoDB University,https://learn.mongodb.com,Free MongoDB developer and data analyst courses
Spring Boot,Spring.io,https://spring.io,Learn Spring Boot for Java web development
Power BI,Microsoft Learn,https://learn.microsoft.com,Data visualization and business analytics learning path
Excel,Excel Easy,https://www.excel-easy.com,Free Excel tutorials with practical examples
Tableau,Tableau Public,https://public.tableau.com,Interactive data visualization and dashboard building
Flask Framework,Flask Official Docs,https://flask.palletsprojects.com,Learn to build Python web applications using Flask
TensorFlow,TensorFlow.org,https://www.tensorflow.org,Machine learning and deep learning framework by Google
PyTorch,PyTorch.org,https://pytorch.org,Open-source deep learning framework
Scikit-learn,Scikit-learn.org,https://scikit-learn.org,Machine learning in Python with easy-to-use APIs
Git & GitHub,Github Skills,https://skills.github.com,Interactive git and version control learning modules
Docker,Docker, Docshttps://docs.docker.com,Learn Docker containers and deployment practices
Kubernetes,Kubernetes.io,https://kubernetes.io,Learn container orchestration and cloud deployment
Figma Design,Figma Learn,https://www.figma.com/resources/learn-design,Free design resources and lessons from professionals
Canva,Canva Design School,https://www.canva.com/learn/,Learn design and branding with Canva courses
Salesforce,Trailhead,https://trailhead.salesforce.com,Free interactive Salesforce and CRM learning paths
AWS Cloud,AWS Skill Builder,https://skillbuilder.aws,Official cloud computing and certification courses
Azure Cloud,Microsoft Learn,https://learn.microsoft.com/en-us/training/,Comprehensive learning path for Azure cloud
Google Cloud,Google Cloud Skills Boost,https://cloudskillsboost.google,Hands-on labs and cloud certifications
DevOps,Jenkins.io,https://www.jenkins.io,Learn continuous integration and deployment automation
Blockchain,Blockchain Council,https://www.blockchain-council.org,Professional certifications in blockchain development
Kaggle ML,Kaggle Learn,https://www.kaggle.com/learn,Free short courses in AI ML and data analysis
Data Visualization,DataCamp,https://www.datacamp.com,Interactive courses on Python R and visualization
Software Engineering,MIT OpenCourseWare,https://ocw.mit.edu,Free computer science & software engineering lectures
Operating Systems,CS50 Harvard,https://cs50.harvard.edu,Learn OS and system design with hands-on labs
OpenCV,PyImageSearch,https://www.pyimagesearch.com,Learn image processing and computer vision in Python
Artificial Intelligence,IBM SkillsBuild,https://skillsbuild.org,Learn AI and cloud skills with IBM resources
Digital Marketing,Google Digital Garage,https://learndigital.withgoogle.com,Free digital marketing and analytics courses

