Hackathon,Organizer,Link,Deadline

Smart India Hackathon,Government of India,https://www.sih.gov.in,Annually (July–August)
NASA Space Apps Challenge,NASA,https://www.spaceappschallenge.org,September yearly
Devpost Global Hackathons,Devpost,https://devpost.com/hackathons,Ongoing
Hack the Mountains,Hackathon Community India,https://hackthemountain.tech,June yearly
Hack2Skill Global Challenges,Hack2Skill,https://hack2skill.com/hackathons,Monthly events
Major League Hacking (MLH),MLH,https://mlh.io,Ongoing throughout the year
Google Solution Challenge,Google Developers,https://developers.google.com/community/solution-challenge,March yearly
Microsoft Imagine Cup,Microsoft,https://imaginecup.microsoft.com,February yearly
AWS Buildathon,Amazon Web Services,https://aws.amazon.com/events,Varies
Intel AI Global Impact Festival,Intel,https://intel.com/impactfestival,August yearly
Code Gladiators,TechGig,https://www.techgig.com/codegladiators,Annual (April–June)
TCS CodeVita,Tata Consultancy Services,https://tcs.com/codevita,June yearly
JP Morgan Code for Good,JP Morgan,https://careers.jpmorgan.com,Invitational (April–May)
Flipkart GRiD,Flipkart,https://unstop.com,June yearly
EY Techathon,Ernst & Young,https://unstop.com,March yearly
Infosys HackWithInfy,Infosys,https://careers.infosys.com,Held every June
Google Cloud Arcade,Google Cloud,https://cloud.google.com/learn/arcade,Ongoing
Hack36,IIT BHU,https://hack36.com,January yearly
HackBMU,BML Munjal University,https://hackbmu.tech,February yearly
HackNITR,NIT Rourkela,https://hacknitr.tech,April yearly
HackFest,IIT Dhanbad,https://hackfest.iitism.ac.in,February yearly
HackJaipur,Script Foundation,https://hackjaipur.devfolio.co,June yearly
Hack The League,Devfolio,https://hacktheleague.tech,August yearly
HackOdisha,Coding Ninjas & Devfolio,https://hackodisha.devfolio.co,August yearly
HackCBS,Shaheed Sukhdev College of Business Studies,https://hackcbs.tech,October yearly
HackMol,DevClub India,https://hackmol.tech,March yearly
HackNagpur,Code Community Nagpur,https://hacknagpur.tech,February yearly
HackSRM,SRM Institute of Science & Technology,https://hacksrm.tech,December yearly
Hack4Change,Unstop & Niti Aayog,https://unstop.com,Ongoing
HackClub India,Student Developer Community,https://hackclub.com,Year-round
Open Source Hackfest,EddieHub Community,https://eddiehub.org,October yearly
Hacktoberfest,DigitalOcean & GitHub,https://hacktoberfest.com,October yearly
HackHive,Devfolio,https://hackhive.tech,April yearly
HackThisFall,DevScript,https://hackthisfall.tech,October yearly
Hackverse,MIT Manipal,https://hackverse.devfolio.co,February yearly
Hack For India,Google Developer Groups India,https://developers.google.com/community,May yearly
Codeutsava,NIT Raipur,https://codeutsava.in,March yearly
HackMIT,Massachusetts Institute of Technology,https://hackmit.org,September yearly
PennApps,University of Pennsylvania,https://pennapps.com,August yearly
HackZurich,HackZurich,https://hackzurich.com,September yearly
Hack Cambridge,University of Cambridge,https://hackcambridge.com,January yearly
HackNY,New York University,https://hackny.org,April yearly
HackTheNorth,University of Waterloo,https://hackthenorth.com,September yearly
HackUPC,Barcelona Tech University,https://hackupc.com,April yearly
HackGT,Georgia Tech,https://hack.gt,October yearly
HackHarvard,Harvard University,https://hackharvard.io,October yearly
Hack4Bengal,GDG Kolkata,https://hack4bengal.tech,April yearly
HackMakers Sustainability Hack,HackMakers,https://hackmakers.com,June yearly
Hack4Good,AngelHack,https://angelhack.com,Ongoing
Hackoverflow,Student Developer Club India,https://hackoverflow.dev,May yearly
Smart Hacks India,AICTE & Ministry of Education,https://innovateindia.mygov.in,August yearly

